Nquest,Weight,City,State,Region,Age Group,Education Level,Socioeconomic Class,Income Group,Internet Access,Ethnicity,Marital Status,Sexual Orientation,Religion,Gender,Children,P1 Count,P1 Count Label
197962079,0.813394536,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Black,Married,Heterosexual,Evangelical,Woman,Children,0,No user (0)
197966783,3.803388677,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,B2,"From R$ 7,061.00 to R$ 14,120.00",Almost always connected,White,Married,Heterosexual,Catholic,Woman,No children,5,Medium user (7-4)
197969097,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Sometimes connected,Mixed,Married,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
197969769,3.383774524,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,C1,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Undefined,Man,No children,5,Medium user (7-4)
197971141,0.683575242,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Black,Single,Other,Evangelical,Woman,No children,2,Low user (3-1)
197972515,1.020946448,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,6,Medium user (7-4)
197977950,4.262980047,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,Heterosexual,Catholic,Woman,No children,7,Medium user (7-4)
197977951,1.548086942,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Mixed,Married,Heterosexual,Catholic,Man,Children,2,Low user (3-1)
197977952,1.147974299,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B1,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Black,Single,Heterosexual,Catholic,Man,No children,5,Medium user (7-4)
197977953,3.803388677,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Separated,Heterosexual,Catholic,Woman,Children,7,Medium user (7-4)
198001413,1.021443143,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Black,Single,LGBTQIAPN+,Atheist / No religion,Woman,No children,6,Medium user (7-4)
198015696,0.673073724,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,C1,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Black,Married,Heterosexual,Catholic,Man,Children,5,Medium user (7-4)
198015697,1.059257782,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Black,Married,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
198015698,1.018834801,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,B2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Black,Married,Other,Evangelical,Man,Children,7,Medium user (7-4)
198086498,3.509044554,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C1,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,White,Married,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
198088321,0.121500106,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Always connected,Asian,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198088627,1.083865262,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Mixed,Single,Heterosexual,Catholic,Man,No children,3,Low user (3-1)
198090147,1.619582852,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,A,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Separated,Heterosexual,Spiritist | Kardecist,Man,Children,7,Medium user (7-4)
198093666,1.147974299,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Single,Heterosexual,Catholic,Man,No children,4,Medium user (7-4)
198093785,0.712622605,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Black,Separated,Heterosexual,Atheist / No religion,Woman,Children,7,Medium user (7-4)
198095031,1.020946448,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,D/E,Don’t know,Always connected,Mixed,Married,Heterosexual,Atheist / No religion,Man,No children,0,No user (0)
198095638,1.020946448,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,A,Don’t know,Always connected,Mixed,Single,Heterosexual,Catholic,Man,No children,6,Medium user (7-4)
198096839,2.694563792,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Single,Heterosexual,Evangelical,Man,No children,6,Medium user (7-4)
198097524,1.705745853,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,D/E,Don’t know,Sometimes connected,Mixed,Widowed,Heterosexual,Catholic,Woman,Children,0,No user (0)
198097743,3.734836924,Belo Horizonte,Minas Gerais,Sudeste,60 +,Higher Education,D/E,Refused to answer,Sometimes connected,White,Married,Heterosexual,Catholic,Woman,Children,7,Medium user (7-4)
198099210,1.036018415,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Afro-Brazilian,Man,Children,1,Low user (3-1)
198099634,1.286218779,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198100993,1.630446308,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Elementary,D/E,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
198101048,1.096893424,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,Children,4,Medium user (7-4)
198103232,1.020946448,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,9,Heavy user (14-8)
198103378,2.397565617,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Married,Heterosexual,Evangelical,Woman,No children,2,Low user (3-1)
198103674,0.683575242,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Black,Single,Heterosexual,Atheist / No religion,Woman,No children,6,Medium user (7-4)
198103827,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Separated,Other,Evangelical,Woman,No children,2,Low user (3-1)
198104373,1.096893424,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Separated,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198104374,3.509044554,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,"Up to R$ 1,412.00",Sometimes connected,White,Single,Other,Evangelical,Man,Children,4,Medium user (7-4)
198105009,1.815288935,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B1,"From R$ 7,061.00 to R$ 14,120.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,4,Medium user (7-4)
198105903,0.068327978,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Indigenous,Single,Heterosexual,Evangelical,Woman,No children,8,Heavy user (14-8)
198106432,1.630446308,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Atheist / No religion,Woman,Children,1,Low user (3-1)
198106623,2.404063191,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Sometimes connected,White,Separated,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
198107764,3.783423053,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,Heterosexual,Catholic,Woman,Children,2,Low user (3-1)
198107854,2.297936675,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C2,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Catholic,Man,No children,2,Low user (3-1)
198108404,0.107823388,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C2,"Up to R$ 1,412.00",Always connected,Indigenous,Single,Heterosexual,Atheist / No religion,Woman,Children,0,No user (0)
198108599,0.813394536,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Married,Heterosexual,Catholic,Woman,Children,7,Medium user (7-4)
198110147,3.635489434,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,White,Single,Heterosexual,Catholic,Woman,No children,11,Heavy user (14-8)
198111591,0.076792099,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Indigenous,Married,Heterosexual,Atheist / No religion,Man,Children,5,Medium user (7-4)
198116985,1.548086942,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,B2,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,6,Medium user (7-4)
198142358,2.264506356,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Single,Heterosexual,Catholic,Man,No children,4,Medium user (7-4)
198143279,1.059257782,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Never connected,Black,Married,Other,Undefined,Other responses,Children,0,No user (0)
198143370,1.590391714,Belo Horizonte,Minas Gerais,Sudeste,60 +,Higher Education,B1,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Married,Heterosexual,Spiritist | Kardecist,Man,Children,7,Medium user (7-4)
198143371,0.725702568,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Black,Married,Heterosexual,Catholic,Woman,Children,8,Heavy user (14-8)
198143372,0.121500106,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Asian,Single,Heterosexual,Evangelical,Woman,Children,5,Medium user (7-4)
198144401,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Undefined,Man,Children,0,No user (0)
198144766,0.068327978,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Indigenous,Single,Heterosexual,Evangelical,Woman,No children,6,Medium user (7-4)
198145601,1.036018415,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,1,Low user (3-1)
198146236,1.539960367,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Elementary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,5,Medium user (7-4)
198146513,1.675001726,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
198147031,1.059257782,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Black,Separated,Other,Catholic,Woman,Children,4,Medium user (7-4)
198148148,1.582043064,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C1,"From R$ 1,413.00 to R$ 2,824.00",Never connected,Mixed,Married,Heterosexual,Catholic,Man,Children,0,No user (0)
198148562,0.68542778,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Married,Heterosexual,Evangelical,Man,Children,2,Low user (3-1)
198148602,1.036522443,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Black,Married,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
198150058,1.021443143,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Single,Heterosexual,Spiritist | Kardecist,Woman,No children,11,Heavy user (14-8)
198151119,0.683575242,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Single,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
198151338,1.059257782,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Never connected,Black,Single,Heterosexual,Catholic,Woman,Children,0,No user (0)
198152350,14.48889111,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,Don’t know,Sometimes connected,NA,Single,Heterosexual,Catholic,Man,No children,5,Medium user (7-4)
198152351,0.081304296,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Indigenous,Married,Heterosexual,Evangelical,Woman,Children,8,Heavy user (14-8)
198152352,1.639050389,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,8,Heavy user (14-8)
198152480,1.083865262,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,5,Medium user (7-4)
198153233,0.725702568,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Black,Separated,Heterosexual,Evangelical,Woman,Children,7,Medium user (7-4)
198154789,2.397565617,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,No children,11,Heavy user (14-8)
198154825,1.705745853,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C1,Don’t know,Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,0,No user (0)
198154936,2.360732688,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Married,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
198155490,1.147974299,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Married,Heterosexual,Evangelical,Man,Children,9,Heavy user (14-8)
198156119,2.360732688,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Sometimes connected,White,Single,Heterosexual,Catholic,Man,No children,4,Medium user (7-4)
198156123,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,Children,7,Medium user (7-4)
198156790,0.693666686,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C1,"Up to R$ 1,412.00",Always connected,Black,Married,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
198157786,1.582043064,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,0,No user (0)
198158169,1.215427681,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Single,Heterosexual,Undefined,Woman,No children,10,Heavy user (14-8)
198158476,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Separated,Heterosexual,Evangelical,Woman,Children,2,Low user (3-1)
198158710,1.083865262,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,2,Low user (3-1)
198158875,1.705745853,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C2,"From R$ 2,825.00 to R$ 4,236.00",Sometimes connected,Mixed,Married,Other,Atheist / No religion,Woman,Children,1,Low user (3-1)
198159429,0.645638421,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 14,121.00 to R$ 28,240.00",Always connected,Black,Single,Heterosexual,Afro-Brazilian,Man,No children,10,Heavy user (14-8)
198160044,1.141948088,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Elementary,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Married,Heterosexual,Catholic,Man,No children,2,Low user (3-1)
198160300,1.921952802,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Atheist / No religion,Woman,No children,7,Medium user (7-4)
198161233,2.404063191,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,Heterosexual,Undefined,Man,Children,1,Low user (3-1)
198161234,3.433728308,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,B1,"From R$ 14,121.00 to R$ 28,240.00",Always connected,White,Single,Heterosexual,Evangelical,Man,No children,5,Medium user (7-4)
198161235,1.126868373,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Widowed,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198161236,1.214836657,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,10,Heavy user (14-8)
198161664,1.611080965,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,6,Medium user (7-4)
198162975,3.592309538,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,White,Single,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
198164063,1.126868373,Belo Horizonte,Minas Gerais,Sudeste,60 +,Secondary,B1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,LGBTQIAPN+,Catholic,Woman,Children,0,No user (0)
198187561,1.214836657,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,B2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,LGBTQIAPN+,Afro-Brazilian,Man,Children,1,Low user (3-1)
198188364,0.725702568,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"Up to R$ 1,412.00",Never connected,Black,Single,LGBTQIAPN+,Catholic,Woman,Children,1,Low user (3-1)
198189515,1.286218779,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,7,Medium user (7-4)
198196931,0.655169814,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,B2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Black,Single,Heterosexual,Catholic,Man,Children,0,No user (0)
198200354,1.582043064,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Never connected,Mixed,Single,Other,Catholic,Man,Children,4,Medium user (7-4)
198202388,0.149444561,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Never connected,Asian,Widowed,Other,Catholic,Other responses,Children,3,Low user (3-1)
198204616,1.705745853,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C2,Don’t know,Sometimes connected,Mixed,Separated,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198204617,1.096893424,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Separated,Heterosexual,Atheist / No religion,Woman,Children,2,Low user (3-1)
198204618,1.214836657,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,B2,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,9,Heavy user (14-8)
198204619,1.911863645,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198205171,1.096893424,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
198206384,1.215427681,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Single,Heterosexual,Catholic,Woman,Children,3,Low user (3-1)
198206813,1.286218779,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,2,Low user (3-1)
198207946,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,Children,2,Low user (3-1)
198211073,1.214836657,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Undefined,Man,Children,5,Medium user (7-4)
198233696,3.383774524,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Single,Heterosexual,Atheist / No religion,Man,No children,4,Medium user (7-4)
198233697,1.675001726,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,Don’t know,Always connected,Mixed,Married,Other,Catholic,Woman,Children,3,Low user (3-1)
198233698,1.619582852,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Separated,Heterosexual,Atheist / No religion,Man,Children,11,Heavy user (14-8)
198233699,1.548086942,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Higher Education,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,3,Low user (3-1)
198233700,0.683575242,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Single,Heterosexual,Atheist / No religion,Woman,No children,6,Medium user (7-4)
198233701,3.509044554,Belo Horizonte,Minas Gerais,Sudeste,60 +,Elementary,D/E,"Up to R$ 1,412.00",Sometimes connected,White,Widowed,LGBTQIAPN+,Catholic,Man,Children,0,No user (0)
198233702,2.432960255,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,White,Married,Heterosexual,Catholic,Woman,Children,3,Low user (3-1)
198235154,1.147551686,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Woman,Children,3,Low user (3-1)
198236887,1.036018415,Belo Horizonte,Minas Gerais,Sudeste,35 a 44,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Mixed,Married,Heterosexual,Catholic,Man,Children,8,Heavy user (14-8)
198237821,0.725702568,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,B1,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Black,Single,LGBTQIAPN+,Undefined,Woman,No children,8,Heavy user (14-8)
198238911,3.582600434,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,B1,"From R$ 14,121.00 to R$ 28,240.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,No children,8,Heavy user (14-8)
198239031,2.264506356,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,White,Single,Heterosexual,Catholic,Man,No children,8,Heavy user (14-8)
198239057,15.38181146,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,NA,Married,Heterosexual,Undefined,Other responses,Children,4,Medium user (7-4)
198239745,1.705745853,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Elementary,C1,Don’t know,Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,4,Medium user (7-4)
198240014,1.921952802,Belo Horizonte,Minas Gerais,Sudeste,25 a 34,Higher Education,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,No children,10,Heavy user (14-8)
198240721,2.264506356,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Secondary,C1,Don’t know,Almost always connected,White,Single,Heterosexual,Catholic,Man,No children,8,Heavy user (14-8)
198241050,3.803388677,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,C1,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,White,Separated,Heterosexual,Catholic,Woman,Children,4,Medium user (7-4)
198241605,0.102376863,Belo Horizonte,Minas Gerais,Sudeste,45 a 59,Higher Education,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Indigenous,Married,Heterosexual,Catholic,Man,Children,4,Medium user (7-4)
198241948,1.525565416,Belo Horizonte,Minas Gerais,Sudeste,16 a 24,Higher Education,A,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,4,Medium user (7-4)
